RowID,intern_num,maxsal,minsal,city,scale,id_1,c_desc,month_num,day,c_tag,name,industry,c_name,
389,1,150,100,佛山,150-500人,inn_ma5qxowhajmv,全国首批八家获得《电子认证服务许可证》的电子认证服务机构之一,3,5,"['工作环境好', '超nice的上司', '地铁周边', '有补贴', '超有爱', '轻松和睦', '业界牛人', '优秀实习环境', '职业发展', '团队活动超多']",证书业务审核员（实习生）,互联网/游戏/软件,GDCA,
390,11,300,180,厦门,15-50人,inn_spjpighovptm,自动机器学习驱动的企业级AI中台,3,5,"['人工智能', '深度学习', 'AutoML', '推荐搜索', '知识图谱', '大牛云集']",算法工程师（实习）,互联网/游戏/软件,深度赋智,
391,17,400,300,青岛,150-500人,inn_jcdxci0rjsl3,集高新科技研发、技术支持及互联网技术安全为一体的科技公司,3,5,"['公司前景好', '超强团队', '全方位培训', '环境高大上', '轻松和睦']",云计算运维工程师实习生,互联网/游戏/软件,乾璟科技,
392,2,180,150,上海,150-500人,inn_xffcgzqk9swo,喜扑游戏是专业的手机游戏运营平台,3,5,[],游戏视频设计师,互联网/游戏/软件,喜扑游戏,
393,176,150,100,广州,2000人以上,inn_ehplhpbxele9,以视频内容，连接你我，丰富生活,4,4,"['工作环境超棒', '节日大礼包', '餐补']",平台商业化运营实习生,互联网/游戏/软件,欢聚集团,
394,14,250,150,广州,2000人以上,inn_flxu7p6i4fw1,中国排名前五的B2C跨境电商企业,6,4,"['五险一金', '文化开放', '医疗服务', '节假日福利', '羽毛球', '绩效奖金', '发展迅速，空间大', '内部培训']",活动运营实习生,互联网/游戏/软件,棒谷科技,
395,45,200,150,银川,2000人以上,inn_1rrlcvwdd1zd,致力于成为大型企业数字化转型的使能者,12,5,"['优秀的团队', '技术', '留用转正机会']",数据分析实习生,互联网/游戏/软件,亚信科技,
396,14,150,100,南京,50-150人,inn_bve1fsseqlxe,致力于人工智能在校园的产品化应用，为客户提供基于人工智能的软硬件解决方案。,6,5,"['双休& 五险', '锻炼机会多', '专人带领', '年轻', '带薪培训', '挑战', '广阔的职业发展平台', '年终奖优厚', '成长', '科技平台']",项目经理助理（南京）,互联网/游戏/软件,华颐智能,
397,1,200,150,北京,15-50人,inn_ahk1ftnggz6g,大麦地旗下产品ProcessOn，一款垂直领域的在线作图工具和内容分享平台。,2,3,"['团队融洽有爱', '待遇优', '成长机会大', '团队活动多']",内容运营实习生,互联网/游戏/软件,ProcessOn,
398,5,150,120,上海,15-50人,inn_lbjol3hz0kbu,上海仁端网络科技有限公司，一家专注于互联网营销推广公司。,3,5,"['技术牛人云集', '留用机制', '锻炼多', '年轻& 活力', '电商', '绝佳氛围']",新媒体实习生,互联网/游戏/软件,上海仁端,
399,11,300,200,厦门,15-50人,inn_urkcd6d89qxc,自动机器学习驱动的企业级AI中台,3,4,"['人工智能', '深度学习', 'AutoML', '推荐搜索', '知识图谱', '大牛云集']",后端实习生,互联网/游戏/软件,深度赋智,
400,4,150,120,北京,500-2000人,inn_lp79imo9szyu,中国领先的一站式企业级人工智能产品与服务平台,3,5,"['大数据', '环境氛围好', '高科技', '合作范', '学习氛围好', '业界牛人']",市场实习生,互联网/游戏/软件,明略科技,
