maxsal,minsal,intern_num,city,scale,c_desc,month_num,day,c_tag,name,industry,c_name,
120,100,3,广州,150-500人,八方锦程作为中国员工雇前背景调查领域为领先的公司，我们在快速的发展中极为期待那个的你！,13,5,"['制度人性化', '老板人很帅', '成长环境', '节日费用', '实习补助', '薪酬福利好', '欢乐团队', '带薪年假、婚假、产假等国家规定假期', '良好团队氛围', '双休日']",人事助理（背景调查）,企业服务/咨询,八方锦程,
0,0,6,深圳,2000人以上,世界五百强企业，中国内地具实力的综合性房地产商之一,3,5,"['500强公司', '学到东西多', '免费健身房', '充分信任', '培训好', '留用机会大', '三餐免费', '学到东西多', '活力足', '气氛好']",人力资源实习生,房产/家居/物业/建筑,华润置地,
150,120,77,杭州,2000人以上,世界500强；全球领先的物联网企业；业务广泛,6,4,"['物联网', '人工智能', '大数据', '软件开发', '嵌入式', '云服务']",软件开发（全栈开发）实习生,汽车/机械/制造,博世中国,
180,150,1,苏州,500-2000人,为全球客户提供海、陆、空动力系统和服务，成就卓越,6,5,"['学习机会大', '免费咖啡', '一对一辅导', '员工培训', '行业前景好', '500强公司', '露天咖啡吧', 'open老板', '提升个人能力']",Customer Administrative Intern,汽车/机械/制造,Rolls-Royce China,
120,100,27,北京,500-2000人,用信息技术推动金融业发展和社会进步,6,5,[],实施顾问（实习）,互联网/游戏/软件,用友金融,
200,150,114,全国,150-500人,新三板挂牌公司（股票代码831611）,3,2,"['读书', '实习证明', '接受应届生', '文化好', '个人提升', '学习机会多']",学科编辑-麻醉学,教育/培训,圣才电子书,
200,150,114,全国,150-500人,新三板挂牌公司（股票代码831611）,3,2,"['读书', '实习证明', '接受应届生', '文化好', '个人提升', '学习机会多']",医学检验专业编辑实习生,教育/培训,圣才电子书,
150,120,19,广州,150-500人,专注于移动游戏领域精品游戏业务的高新技术企业。,6,5,"['体系完善', '公司前景好', '证券牌照齐全', '福利环境超好', '培训机会', '补充医疗保险', '年底分红']",2021届-国内运营助理,互联网/游戏/软件,手盟网络,
250,200,1,广州,2000人以上,贝壳找房是由链家网升级而来，致力于为用户提供新房、二手房、租赁、装修全方位的居住服务。,3,6,"[' 五险一金', '提供食宿', '项目奖金', '月薪丰厚']",销售实习生,房产/家居/物业/建筑,贝壳找房,
180,100,11,重庆,2000人以上,致力于协助广大小微型企业主、个体工商户、普通工薪阶层获得更加优质的借款服务,3,5,[],人事专员,金融/经济/投资/财会,平安普惠,
